## schema based on version 2.11.0,
## directly checked out from https://github.com/CanDIG/katsu.git, commit 7d252e9e7ea6cabc77b265946c1e880b7e766dd0
## mcodepacket element, description (overwrite with mapped element)
## (.0 is an array element) (* is required) (+ denotes ontology term),
id,"##An arbitrary identifier for the mcodepacket."
##subject,"##An individual who is a subject of mcodepacket."
subject.id*,"##A unique researcher-specified identifier for an individual."
##subject.alternate_ids,"##A list of alternative identifiers for an individual."
subject.alternate_ids.0,"##One of possibly many alternative identifiers for an individual."
subject.date_of_birth,"##A timestamp representing an individual's date of birth; either exactly or imprecisely."
subject.age,"##The age or age range of the individual."
subject.sex,"##The phenotypic sex of an individual, as would be determined by a midwife or physician at birth."
subject.karyotypic_sex,"##The karyotypic sex of an individual."
subject.taxonomy+,"##An ontology term specified when more than one organism may be studied. It is advised that codesfrom the NCBI Taxonomy resource are used, e.g. NCBITaxon:9606 for humans."
subject.active,"##Whether a patient's record is in active use."
subject.deceased,"##Whether a patient is deceased."
subject.race,"##A code for a person's race (mCode)."
subject.ethnicity,"##A code for a person's ethnicity (mCode)."
##subject.comorbid_condition,"##One or more conditions that occur with primary condition."
subject.comorbid_condition.clinical_status+,"##An ontology term."
subject.comorbid_condition.code+,"##An ontology term."
subject.ecog_performance_status+,"##Value representing the Eastern Cooperative Oncology Group performance status."
subject.karnofsky+,"##Value representing the Karnofsky Performance status."
subject.extra_properties,
##genomics_report,"##A genomics report associated with an Individual."
genomics_report.id*,"##An arbitrary identifier for the genetics report."
genomics_report.code*+,"##An ontology or controlled vocabulary term to identify the laboratory test. Accepted value sets: LOINC, GTR."
genomics_report.performing_organization_name,"##The name of the organization  producing the genomics report."
genomics_report.issued*,"##The date/time this report was issued."
##genomics_report.genetic_specimen,"##List of related genetic specimens."
##genomics_report.genetic_specimen.0,"##Class to describe a biosample used for genomics testing or analysis."
genomics_report.genetic_specimen.0.id*,"##An arbitrary identifier for the genetic specimen."
genomics_report.genetic_specimen.0.specimen_type*+,"##The kind of material that forms the specimen."
genomics_report.genetic_specimen.0.collection_body+,"##The anatomical collection site."
genomics_report.genetic_specimen.0.laterality+,"##Body side of the collection site, if needed to distinguish from a similar location on the other side of the body."
genomics_report.genetic_specimen.0.extra_properties,
##genomics_report.genetic_variant,"##Related genetic variant."
genomics_report.genetic_variant.id*,"##An arbitrary identifier for the cancer genetic variant."
genomics_report.genetic_variant.data_value+,"##The overall result of the genetic test; specifically, whether a variant is present, absent, no call, or indeterminant."
genomics_report.genetic_variant.method+,"##The method used to perform the genetic test."
genomics_report.genetic_variant.amino_acid_change+,"##The symbolic representation of an amino acid variant reported using HGVS nomenclature (pHGVS)."
genomics_report.genetic_variant.amino_acid_change_type+,"##The type of change related to the amino acid variant."
genomics_report.genetic_variant.cytogenetic_location,"##The cytogenetic (chromosome) location."
genomics_report.genetic_variant.cytogenetic_nomenclature+,"##The cytogenetic (chromosome) location, represented using the International System for Human Cytogenetic Nomenclature (ISCN)."
##genomics_report.genetic_variant.gene_studied,"##A gene targeted for mutation analysis, identified in HUGO Gene Nomenclature Committee (HGNC) notation."
##genomics_report.genetic_variant.gene_studied.0,"##A representation of an identifier for a gene."
genomics_report.genetic_variant.gene_studied.0.id*,"##Official identifier of the gene. It SHOULD be a CURIE identifier with a prefix used by the official organism gene nomenclature committee, e.g. HGNC:347 for humans."
##genomics_report.genetic_variant.gene_studied.0.alternate_ids,"##A list of identifiers for alternative resources where the gene is used or catalogued."
genomics_report.genetic_variant.gene_studied.0.alternate_ids.0,"##An alternative identifier from a resource where the gene is used or catalogued."
genomics_report.genetic_variant.gene_studied.0.symbol*,"##A gene's official gene symbol as designated by the organism's gene nomenclature committee, e.g. ETF1 from the HUGO Gene Nomenclature committee."
genomics_report.genetic_variant.gene_studied.0.extra_properties,
genomics_report.genetic_variant.genomic_dna_change+,"##The symbolic representation of a genetic structural variant reported using HGVS nomenclature (gHGVS)."
genomics_report.genetic_variant.genomic_source_class+,"##The genomic class of the specimen being analyzed, for example, germline for inherited genome, somatic for cancer genome, and prenatal for fetal genome."
##genomics_report.genetic_variant.variation_code,"##The variation ID assigned by ClinVar."
genomics_report.genetic_variant.variation_code.0+,"##An ontology term."
genomics_report.genetic_variant.extra_properties,
##genomics_report.genomic_region_studied,"##Related genomic region studied."
genomics_report.genomic_region_studied.id*,"##An arbitrary identifier for the genomic region studied."
##genomics_report.genomic_region_studied.dna_ranges_examined,"##The range(s) of the DNA sequence examined."
genomics_report.genomic_region_studied.dna_ranges_examined.0+,"##An ontology term."
##genomics_report.genomic_region_studied.dna_region_description,"##The description for the DNA region studied in the genomics report."
genomics_report.genomic_region_studied.dna_region_description.0,
##genomics_report.genomic_region_studied.gene_mutation,"##The gene mutations tested for in blood or tissue by molecular genetics methods."
genomics_report.genomic_region_studied.gene_mutation.0+,"##An ontology term."
##genomics_report.genomic_region_studied.gene_studied,"##The ID for the gene studied."
genomics_report.genomic_region_studied.gene_studied.0+,"##An ontology term."
genomics_report.genomic_region_studied.genomic_reference_sequence_id,"##Range(s) of DNA sequence examined."
genomics_report.genomic_region_studied.genomic_region_coordinate_system+,"##The method of counting along the genome."
genomics_report.genomic_region_studied.extra_properties,
genomics_report.extra_properties,
##cancer_condition,"##An Individual's cancer condition."
cancer_condition.id*,"##An arbitrary identifier for the labs/vital tests."
cancer_condition.condition_type*,
##cancer_condition.body_site,"##Ontology class list"
cancer_condition.body_site.0+,"##An ontology term."
cancer_condition.clinical_status+,"##An ontology term."
cancer_condition.code*+,"##An ontology term."
cancer_condition.date_of_diagnosis,
cancer_condition.histology_morphology_behavior+,"##An ontology term."
##cancer_condition.tnm_staging,
##cancer_condition.tnm_staging.0,"##A description of the cancer spread in a patient's body."
cancer_condition.tnm_staging.0.id*,"##An arbitrary identifier for the TNM staging."
cancer_condition.tnm_staging.0.tnm_type*,"##TNM type: clinical or pathological."
cancer_condition.tnm_staging.0.stage_group*+,"##The extent of the cancer in the body, according to the TNM classification system.Accepted ontologies: SNOMED CT, AJCC and others."
cancer_condition.tnm_staging.0.primary_tumor_category*+,"##Category of the primary tumor, based on its size and extent. Accepted ontologies: SNOMED CT, AJCC and others."
cancer_condition.tnm_staging.0.regional_nodes_category*+,"##Category of the presence or absence of metastases in regional lymph nodes. Accepted ontologies: SNOMED CT, AJCC and others."
cancer_condition.tnm_staging.0.distant_metastases_category*+,"##Category describing the presence or absence of metastases in remote anatomical locations. Accepted ontologies: SNOMED CT, AJCC and others."
cancer_condition.tnm_staging.0.cancer_condition*,"##Cancer condition."
cancer_condition.tnm_staging.0.extra_properties,
cancer_condition.extra_properties,
##cancer_related_procedures,"##A radiological or surgical procedures addressing a cancer condition."
##cancer_related_procedures.0,"##Description of radiological treatment or surgical action addressing a cancer condition."
cancer_related_procedures.0.id*,"##An arbitrary identifier for the procedure."
cancer_related_procedures.0.procedure_type*,"##Type of cancer related procedure: radiation or surgical."
cancer_related_procedures.0.code*+,"##Code for the procedure performed."
##cancer_related_procedures.0.body_site,"##The body location(s) where the procedure was performed."
cancer_related_procedures.0.body_site.0+,"##An ontology term."
cancer_related_procedures.0.laterality+,"##Body side of the body location, if needed to distinguish from a similar location on the other side of the body."
cancer_related_procedures.0.treatment_intent+,"##The purpose of a treatment."
cancer_related_procedures.0.reason_code+,"##The explanation or justification for why the surgical procedure was performed."
##cancer_related_procedures.0.reason_reference,"##Reference to a primary or secondary cancer condition."
cancer_related_procedures.0.reason_reference.0,
cancer_related_procedures.0.extra_properties,
##medication_statement,"##Medication treatment addressed to an Individual."
##medication_statement.0,"##Description of medication use."
medication_statement.0.id*,"##An arbitrary identifier for the medication statement."
medication_statement.0.medication_code*+,"##A code for medication. Accepted code systems: Medication Clinical Drug (RxNorm) and other."
##medication_statement.0.termination_reason,"##A code explaining unplanned or premature termination of a course of medication. Accepted ontologies: SNOMED CT."
medication_statement.0.termination_reason.0+,"##An ontology term."
medication_statement.0.treatment_intent+,"##The purpose of a treatment. Accepted ontologies: SNOMED CT."
medication_statement.0.start_date,"##The start date/time of the medication."
medication_statement.0.end_date,"##The end date/time of the medication."
medication_statement.0.extra_properties,
date_of_death,"##An indication that the patient is no longer living, given by a date of death or boolean."
##tumor_marker,"##A description of tests performed on patient."
##tumor_marker.0,"##A description of tests performed on patient."
tumor_marker.0.id*,"##An arbitrary identifier for the labs/vital tests."
tumor_marker.0.individual*,"##The individual who is the subject of the tests."
tumor_marker.0.tumor_marker_code*+,"##A code identifying the type of tumor marker test."
##tumor_marker.0.tumor_marker_data_value,"##The result of a tumor marker test."
tumor_marker.0.tumor_marker_data_value.value,
tumor_marker.0.extra_properties,
cancer_disease_status+,"##A clinician's qualitative judgment on the current trend of the cancer, e.g., whether it is stable, worsening (progressing), or improving (responding)."
extra_properties,
